Weight,Height
72.0,136.0
106.0,133.0
96.0,150.0
94.0,156.0
119.0,171.0
87.0,129.0
85.0,142.0
73.0,159.0
111.0,122.0
93.0,187.0
89.0,142.0
98.0,129.0
103.0,109.0
85.0,129.0
96.0,165.0
64.0,129.0
101.0,168.0
80.0,130.0
82.0,157.0
125.0,164.0
112.0,132.0
66.0,133.0
96.0,150.0
78.0,136.0
95.0,154.0
81.0,183.0
92.0,141.0
121.0,142.0
101.0,123.0
121.0,171.0
118.0,148.0
92.0,110.0
106.0,154.0
118.0,161.0
93.0,166.0
105.0,124.0
113.0,133.0
38.0,123.0
121.0,151.0
102.0,137.0
48.0,151.0
79.0,121.0
115.0,158.0
94.0,162.0
96.0,143.0
76.0,122.0
73.0,116.0
102.0,161.0
114.0,168.0
109.0,122.0
65.0,145.0
96.0,157.0
103.0,150.0
94.0,157.0
88.0,148.0
124.0,125.0
103.0,157.0
108.0,141.0
81.0,169.0
79.0,147.0
105.0,177.0
102.0,158.0
91.0,163.0
87.0,163.0
109.0,158.0
115.0,140.0
82.0,123.0
100.0,152.0
111.0,155.0
111.0,181.0
74.0,164.0
125.0,167.0
123.0,139.0
94.0,112.0
69.0,159.0
91.0,139.0
98.0,141.0
126.0,134.0
86.0,117.0
109.0,139.0
58.0,176.0
92.0,153.0
90.0,146.0
103.0,138.0
96.0,146.0
130.0,180.0
76.0,137.0
73.0,109.0
129.0,147.0
105.0,130.0
99.0,115.0
86.0,145.0
96.0,150.0
95.0,181.0
94.0,173.0
92.0,168.0
87.0,129.0
77.0,135.0
128.0,106.0
86.0,186.0
103.0,159.0
114.0,162.0
93.0,160.0
115.0,143.0
95.0,123.0
91.0,166.0
79.0,137.0
96.0,128.0
107.0,147.0
113.0,122.0
109.0,129.0
72.0,135.0
119.0,194.0
94.0,190.0
110.0,165.0
71.0,118.0
112.0,110.0
106.0,146.0
60.0,116.0
108.0,197.0
103.0,138.0
82.0,129.0
91.0,161.0
101.0,169.0
62.0,127.0
97.0,141.0
77.0,123.0
96.0,134.0
120.0,140.0
52.0,166.0
104.0,156.0
102.0,111.0
110.0,116.0
113.0,145.0
92.0,142.0
99.0,177.0
133.0,182.0
87.0,135.0
81.0,124.0
125.0,116.0
82.0,173.0
104.0,158.0
109.0,167.0
101.0,188.0
111.0,140.0
108.0,186.0
105.0,142.0
125.0,175.0
112.0,142.0
110.0,199.0
87.0,125.0
103.0,178.0
123.0,129.0
94.0,154.0
107.0,167.0
83.0,128.0
70.0,121.0
103.0,148.0
91.0,149.0
100.0,142.0
90.0,126.0
66.0,118.0
103.0,147.0
96.0,145.0
100.0,108.0
103.0,126.0
118.0,147.0
114.0,138.0
50.0,142.0
102.0,130.0
75.0,140.0
85.0,173.0
92.0,153.0
120.0,169.0
105.0,154.0
110.0,149.0
112.0,144.0
90.0,123.0
105.0,139.0
112.0,166.0
114.0,146.0
120.0,126.0
127.0,137.0
100.0,127.0
97.0,124.0
113.0,113.0
84.0,166.0
111.0,123.0
115.0,163.0
93.0,151.0
99.0,140.0
60.0,130.0
109.0,152.0
108.0,138.0
79.0,155.0
114.0,141.0
94.0,163.0
91.0,156.0
76.0,139.0
110.0,149.0
